hostname;ip;;versao;coleta_lic;pleft;
ra12068bd.cas.brad;172.25.192.180;BDN 21568 SUPERMERCADO CHAMPION;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035872.fla.brad;172.26.227.22; BDN PAA 27230 BDN PAA SAO GONCALO DO PIAUI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra33842ag.sat1.brad;172.27.165.12;3842 AGS OSASCO I PROTEGE - ROUTER 2;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra39260bd.sat1.brad;172.27.252.140;BDN 22564 BDN PAA ALCINOPOLIS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19574bd.fla.brad;172.24.204.180;BDN 3202-12002 NORTE GAS BUTANO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra004841.nct.brad;172.26.132.230;AGC 2980 SUPERM ANDORINHA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra16261bd.mbi.brad;172.24.54.204;BDN 20897 / 26669 WALL MART JOAQUINA RAMALHO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22781.srr.brad;172.25.174.44;2498 AG PALMEIRA DOESTE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra053018.mbi.brad;172.25.131.212;14898 BDN PAB VALTRA DO BRASIL S A;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra056068.nct.brad;172.25.228.220;28549 BDN COMPRE BEM CAMPANELLAS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra039920.blm.brad;172.25.53.60; 16408 BDN SHOPPING MONUMENTAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra022476.mke.brad;172.25.8.188;AG 2813 OLARIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39636.vta.brad;172.25.254.44; 562 TERMINAL RODOVIARIO DE TEIXEIRA DE FREITAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19979.mke.brad;172.24.224.156;BDN BDN 3404/14130 ASS.UN.BRAS.ADV;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19590pb.nct.brad;172.24.170.44;04 PAB 3195-04 CARREFOUR COMERCIO E INDUSTRIA     - AG 3195;C2600 (C2600-IS-M) versao:12.0(7)T;n;-;
ra056270.blm.brad;172.25.213.108;BDN 29045 / PAA 0697-61 BDN PAA SANTA MARIA DO PARA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra04445ag.cta.brad;172.25.238.20; 0929 AG PINHAIS;C2600 (C2600-IS-M) versao:12.2(17a);n;-;
ra04117bd.csl.brad;172.25.133.12;BDN 7404 - ATM SHOPPING CENTER IGUATEMI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra08787.cbf.brad;172.25.134.116;06309 BDN POSTO ESTRELA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39779.mga.brad;172.26.128.190; BDN PAA 35435 BDN PAA GUAIRACA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035713bd.sat1.brad;172.17.35.156; BDN 26957 SANTA RITA DO IBITIPOCA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00305ag.sdr.brad;172.25.212.228;1438 AG PRACA GENERAL VALADAO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052176.cba.brad;172.24.183.68;BDN 26893 AUTO POSTO ZERO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra033672.sdr.brad;172.25.28.4;3672 AG PEDRO ALEXANDRE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19467ag.nct.brad;172.25.68.244; 1045 AGP LAPA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00695bd.fla.brad;172.25.207.244;BDN 12260 PRIMO SCHINCARIOL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035190.sat1.brad;172.27.14.108; BDN 27903 PAA CATINGUEIRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22259.cba.brad;172.25.165.196;0667 AG JUARA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra01224.pjk.brad;172.25.38.172;BDN 20021- SUPERMERCADOS COPAL - INTERFACE DE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22335.bru.brad;172.25.9.212;1577 AG ITAPEVA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19447bd.ula.brad;172.24.166.172;BDN 22141 BDN 22141 POSTO CAIGARAS LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055722.sdr.brad;172.25.108.164;21642 BDN BOM PRECO FAROL;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra053300.cbf.brad;172.24.120.220;14929 BDN PAB UTC ENGENHARIA S A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050438.rpo.brad;172.25.98.172;BDN 25732 HIPER COMPRE BEM PORTO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38822.paa.brad;172.24.104.44; 10177 POSTO SAO VITO LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22456.bru.brad;172.25.19.4;2492 AG SAO PEDRO DO TURVO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035693bd.sat1.brad;172.17.34.124; BDN 26940 NOVAAMERICA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22500.srr.brad;172.25.18.164;0230 AG CASTILHO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra035139.rpo.brad;172.17.19.44; BDN 27765 PAA JABORANDI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22690.csc.brad;172.25.114.124;AG. 0209 ICARAIMA - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra060367.soc.brad;172.26.233.102;AG 6549 AV. PLAZA  URB. ITU - SP;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra039370.sdr.brad;172.25.95.156;20647 BDN HIPERMERCADOS G BARBOSA LOJA 19;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra22706.paa.brad;172.25.52.124;1758 AG AGUAS DE SAO PEDRO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30005.bru.brad;172.27.30.20;AG. 0005 GARCA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19478bd.cine.brad;172.24.109.76;BDN 3627 H. INT.CONTINENTAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055479.sdr.brad;172.25.110.12;28701 BDN SUPERMERCADO MAXXI ARAPIRACA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra18699bd.fla.brad;172.24.197.52;BDN 10278 PAO DE ACUCAR ANTONIO SALES;C1700 (C1700-BNR2SY-M) versao:12.0(7)T;n;-;
ra19560bd.rce.brad;172.24.204.140;BDN 2071 (MASTER)/13947 (SLAVE) /3189 (SLAVE) ALCOA ALUMINIO S/A;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035683bd.sat1.brad;172.17.33.140; BDN 26934 JURUA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra051519.nct.brad;172.24.45.52;BDN 26968 MAXXI DIADEMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30523ag.sat1.brad;172.27.72.12;AG 0523 MACAPA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035869.srr.brad;172.17.47.140; BDN 27214 PAA TARABAI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08487ag.sts.brad;172.25.75.156;0537 AG SAO VICENTE;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra09542.fla.brad;172.27.28.108;PAB 3 GRENDENE CALCADOS - AG 458;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra032229.mbi.brad;172.25.87.156;AG. 2229 - PARQUE S.VICENTE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra21378bd.mke.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra008641.poc.brad;172.25.86.132;AGC 3320 HIPERMERCADO SHIBATA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra035905.bru.brad;172.25.181.204; BDN PAA 27352 BDN PAA NARANDIBA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38596bd.sat2.brad;172.27.192.44;BDN 2862 BDN SUPERMERCADO LUZITANA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra21419pb.bsa.brad;172.24.140.164;PAB 04 UNIMED BRASILA COOP. DE TRABALHO MEDICO - AG 1526;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38378.poc.brad;172.24.93.12;11338 AUTO POSTO CASARAO DE FACO LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053470.bhe.brad;172.24.255.60;50004 BDN ITAMB COOP CENTRAL DOS PROD RURAIS DE MG LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra16123bd.cdl.brad;172.24.107.212;BDN SUPERMERCADO GUANABARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19277bd.jpa.brad;172.24.203.68;BDN 22138 CARREFOUR NATAL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09322.gna.brad;172.25.181.141;;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035550.cta.brad;172.26.127.186; BDN PAA 26760 BDN PAA TUNAS DO PARANA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38875bd.sat1.brad;172.27.186.188; BDN 26001 PAA PRIMAVERA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05170bd.sdr.brad;172.25.209.124;BDN 22074 - SHOP.ITAIGARA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22774.bhe.brad;172.25.173.60;2462 AG GUANHAES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra01424.mbi.brad;172.25.31.84;BDN.12399 - EDITORA GRAFICA BURTI - INTERFACE DE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035383.sat1.brad;172.17.67.60;BDN 27545 MERCADO LIDER;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra050842.sdr.brad;172.25.219.60;BDN 14575 RIACHAO DO JUCUIPE PREFEITURA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053184.nct.brad;172.24.225.36;14887 BDN FICOSA DO BRASIL LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra062231.rce.brad;172.26.226.158;50534 BDN PAE CEMET 1;C1900 (C1900-UNIVERSALK9-M) versao:15.0(1)M4;y;Period left: Life time;
ra26232.mbi.brad;172.25.121.132;21845 BDN DEL REY COMBUSTIVEIS LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19587bd.igs.brad;172.24.71.76;BDN 12193  TEC SER FAC MANAGEMENT LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19622bd.jpa.brad;172.24.205.12;BDN 10190 SUPER NORDEST SALG FILHO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra052375.igs.brad;172.24.51.124;BDN 3689 (MASTER) BDN 40578 (SLAVE);1841 (C1841-ADVENTERPRISEK9-M) versao:12.4(4)T;n;-;
ra11319.ula.brad;172.25.94.188;3259 AGP FRANCA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra035370.sdr.brad;172.25.194.52;  27095 BDN SUPERMERCADO TODO DIA MARECHAL RONDON;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra15232.pjk.brad;172.25.55.36;0924 AGP AFONSO BOVERO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra16313pb.mns.brad;172.24.191.76;6 PAB 06 AMAZONAS TRIBUNAL DE JUSTIGA - AG 482;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra08904bd.bru.brad;172.25.78.172;BDN.3629 - ATM SUPERMERCADOS HUBER - INTERFACE DE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38984.bnu.brad;172.25.226.68;BDN 21323 GRACHER HOTEIS E TURISMO - INTERFACE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra11245bd.srr.brad;;;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra39069bd.sat1.brad;172.27.13.60;BDN 3128 RANDON S.A. IMPLEMENTOS E PARTICIPACOES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38909bd.sat1.brad;172.27.84.124;BDN 15392 BDN PAA MUCURURE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17433ag.fla.brad;172.24.223.52;AG 0731 MAURITI - CE;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra00949ag.cta.brad;172.25.233.180;AGC 3361 SUPERMERCADO ANGELONI AGUA VERDE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19925bd.igs.brad;172.25.23.92;BDN 22793 / 22794 TERM FERR BRAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra056434.bhe.brad;172.17.99.172; AG 0798-00 AG AV. JK.URB. DIVINOPOLIS-MG;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra21406.bhe.brad;172.25.161.76;PAB 3255-01 ITURAMA PREF MUNICIPAL - AG 3255;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05857pb.bhe.brad;172.24.255.116;PAB 1 FUND ED LUCAS MACHADO 0 FELUMA I - AG 3138;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra059816.pae.brad;172.26.240.166;29530 BDN MAKRO SCO LEOPOLDO;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra01477.paa.brad;172.25.89.52;AG 3377 EMPRESAS RIO CLARO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19247pb.sdr.brad;172.24.214.76;03 PAB 3162-03 PETROLEO BRASILEIRO  - AG 3162;C2600 (C2600-IS5-M) versao:12.2(13)T4;n;-;
ra008857.ula.brad;172.25.128.188;7897_40255 BDN CTBC - COMP TELEF DO BRASIL CENTRAL - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra37888bd.sat1.brad;172.27.17.236; BDN 25673 PAA PRANCHITA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra09388ag.mns.brad;172.24.184.12;3734 AG PARQUE DEZ;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra056678.nct.brad;172.24.251.20;27936 BDN SUPERMERCADO EXTRA FACIL CORONEL MELO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22819.csc.brad;172.25.130.180;AG. 0425 CLEVELANDIA - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra004594.nct.brad;172.25.88.100;0102 AG STA IFIGENIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra053123.rce.brad;172.24.167.44;27941 BDN SUPERMERCADO TODO DIA IGARASSU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09385ag.mns.brad;172.25.243.236;3711 AG AV 07 DE SETEMBRO;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra19396bd.pat.brad;172.24.141.12;BDN 21874 BOAVISTA SHOPPING;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra30657ag.nct.brad;172.27.224.220;AG 0657 BAIRRO POVILHO CAJAMAR;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035015bd.sat1.brad;172.17.63.188; BDN 28048 PAA RIO GRANDE DO PIAUI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22361.ula.brad;172.25.62.92;1021 AG CARNEIRINHO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09844ag.gna.brad;172.24.180.100;3139 AG SETOR SUL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39862bd.sat1.brad;172.27.116.12;BDN 12960 - BDN UNIAO PIONEIRA DE INTEGRACAO SOCIAL - FACULD. UPIS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12000bd.cens.brad;172.24.114.252;BDN 8566 ATM PAB ATENTO BRASIL LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22815.roi.brad;172.25.130.76;1634 AG RIBEIRAO CASCALHEIRA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra13092bd.cens.brad;10.245.248.231;BDN 20636 - BDN SENDAS MACAE - INTERFACE DE  PRIMESY;C2600 (C2600-IS-M) versao:12.0(7)T;n;-;
ra022661.vta.brad;172.25.7.180;1489 AG ALEGRE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra052411.cba.brad;172.24.183.180;AG 1515 COMPER CAMPO GRANDE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra26036.nct.brad;172.25.115.236;  3759 BDN SAO PAULO FUTEB;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra21773bd.pae.brad;172.25.163.124;BDN 7969 EST ESTEIO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22660.rsd.brad;172.25.18.140;0795 AG ITANHANDU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra01300ag.pjk.brad;172.24.12.100;2278 AGP CEASA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22604.pat.brad;172.25.3.52;AGP 2385 AV. PAULISTA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra21053bd.cba.brad;172.25.179.132;BDN 14237 TANGARA DA SERRA PREFEITURA MUNICIPAL;C1700 (C1700-BK9NO3R2SY7-M) versao:12.2(15)T16;n;-;
ra19631bd.rce.brad;172.24.205.28;BDN 7729 PAE BOMPRECO A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22416.gna.brad;172.25.236.52;1540 AG IPORA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra37864bd.sat1.brad;172.27.227.204; BDN 25637 PAA MASSARANDUBA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12579bd.igs.brad;172.24.22.92;BDN 2863 ATM COPERCITRUS SU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra053438.pts.brad;172.24.121.68;27969 BDN MULTI MARKET;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra054240.sts.brad;172.24.9.132;26324 BDN E BEM VICENTE DE CARVALHO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038024bd.sat1.brad;172.17.69.220; BDN 28200 PAA SANTA BARBARA DO LESTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20905ag.cba.brad;172.25.90.252;AG 1263 VARZEA GRANDE;C2600 (C2600-IS-M) versao:12.3(17a);n;-;
ra26220.gna.brad;172.25.179.100;13970 BDN UNILEVER BESTFOODS BRASIL LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20888pb.scec.brad;172.24.131.172;PAB 03 BOLSA DE VALORES DE SP S.A - AG 1628;C2600 (C2600-IS-M) versao:12.0(8.0.2)T;n;-;
ra026086.rce.brad;172.26.238.106;BDN 13933/14138 SORVANE S/A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22600.cas.brad;172.25.3.20;AG 1678 CAPIVARI;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra035906bd.sat1.brad;172.17.50.76; BDN 27353 PAA TEREZOPOLIS DE GOIAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22181.cba.brad;172.25.2.112;1586 AG DIAMANTINO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12045bd.jpa.brad;172.24.97.116;BDN 22733 LABADEE MALL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004495.bhe.brad;172.25.161.20;AG 3496 MONTES CLAROS SHOPPING;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
rgoco01.oco.brad;10.240.105.11;BDN 4913 WEG TRANSFORMADOR - INTERFACE;3600 (C3660-JS-M) versao:12.2(17a);n;-;
ra18629.cdl.brad;172.24.123.228;BDN 21645 SUPERVIA EST DQ DE CAXIAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20418bd.cens.brad;172.24.163.84;BDN 21673 SUPERMERCADO SENDAS LOJA 1669;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20058.poc.brad;172.24.138.188;BDN 9904   WHITE MARTINS S;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19532bd.bru.brad;172.24.243.28;BDN 9121 SI SUPERMERCADOS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra01027.blm.brad;172.25.159.172;BDN 11945 SHP CENTER CASTANHEIRA II;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056386.cta.brad;172.25.214.140;29052 BDN SUPERMERCADO CONDOR TORRES;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra004617.pjk.brad;172.25.33.36; 0199 AG VL MARIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20018.igs.brad;172.26.233.86;7719 BDN PLURAL EDITORA E;C1700 (C1700-BK9NO3R2SY7-M) versao:12.2(15)T16;n;-;
ra39078bd.sat1.brad;172.27.23.172; BDN 26072 PAA POTIRETAMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra022419.poc.brad;172.25.235.180;2544 AG ELDORADO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050285.pae.brad;172.25.251.188;01 PAB SANTO ANTONIO DA PATRULHA PREFEITURA MUNICIPAL - AG 1665;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19519bd.cas.brad;172.24.83.148;BDN 3820 ROBERT BOSCH;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra030925.sat3.brad;172.27.75.36;AG. 0925 - CONC.ARAGUAIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20912ag.jpa.brad;172.25.35.188;AG 2007 GUARABIRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra30044.bru.brad;172.27.31.180;AG. 0044 OURINHOS;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra04208.bhe.brad;172.25.161.188;1203 AG FLORESTA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39085bd.sat1.brad;172.27.23.204; BDN 26084 PAA OURIZONA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035719bd.sat1.brad;172.17.35.252; BDN 26993 PEDRINHAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra30004.bru.brad;172.27.30.4;AG. 0004 - ASSIS;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra38640bd.sat1.brad;172.27.201.28;BDN 6258 BDN RODOPOSTO RUBI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38105.pae.brad;172.26.126.138; BDN PAA 28327 BDN PAA SENTINELA DO SUL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055470.nct.brad;172.25.71.116; BDN 28655 BDN PRACA BENEDITO MARTINS DA CRUZ;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19589bd.cens.brad;172.24.165.164;BDN 10351 SHOPPING VIA CENTER;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra35761.sdr.brad;172.25.194.212;BDN 26726 (MASTER )/ 26727 (SLAVE) ATACADAO LAURO DE FREITAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19658bd.bru.brad;172.25.60.236;BDN 21780 POSTO GD;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035341bd.sat1.brad;172.17.20.220; BDN 26641 NORMANDIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra056747.soc.brad;172.26.246.66;PAB  PAB 3466-01 PRIME INA DO BRASIL - AG;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19016bd.mns.brad;172.24.137.92;BDN 10855 PAB ASSEMBLEIA EXBEA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra31004.vta.brad;172.27.56.100;AG 1004 S.MATEUS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra18664bd.ave.brad;172.24.171.252;BDN 40177 PAG CONTAS GELITA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20178bd.csl.brad;172.24.189.84;BDN 3778  PETTENATI S/A;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra054122.cpe.brad;172.24.165.20;50041 BDN ENERSUL-EMPRESA DE ENERGIA ELETRICA DO MATO GROSSO DO SUL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22863.bsa.brad;172.25.33.44;0820 AG CRIXAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22296.cpe.brad;172.25.207.28;1506 AG CASSILANDIA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra055794.rsd.brad;172.25.134.228;26294 BDN SUL GAZ;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra055433.igs.brad;172.25.5.92;AG 2687 RUA MARIA CANDIDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra26228.foz.brad;172.25.227.196;BDN 7760 VONPAR REFRESCOS - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra08675ag.bhe.brad;172.26.133.110;1392 AG CONSELHEIRO LAFAIETE;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra035032.csc.brad;172.26.128.50; BDN PAA 28015 BDN PAA LINDOESTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra054528.blm.brad;172.24.11.172;26098 BDN MATEUS SUPERMERCADOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37813.soc.brad;172.25.150.140; BDN 25493 - BDN PAA NOVA CAMPINA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12182bd.bru.brad;172.24.76.68;BDN 7351 BDN PAE REZENDE BARBOSA  S/A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31738.srr.brad;172.27.40.148;AG. 1738 GUARARAPES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
